Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/competitors/,265,265,620,785.3898248486419,0.9465000039199367,2946.875708992593,114.04150943396226,26.48068767177601,26.48068767177601,620,960,1200,1400,1700,2500,2800,2900,2900,2900,2900
GET,/competitors/?search=github,47,10,830,984.9730505108922,0.868874994921498,2749.6534579986474,1926.3617021276596,4.696574794616877,0.9992712328972079,830,1400,1600,1900,2200,2700,2700,2700,2700,2700,2700
GET,/competitors/?search=google,70,20,620,991.8954827564968,0.7178340019891039,3216.037749996758,1747.857142857143,6.994898630280455,1.9985424657944157,650,1300,1800,2100,2600,2700,2900,3200,3200,3200,3200
GET,/competitors/?search=linear,44,10,1100,973.6314251137876,1.343083000392653,2826.259540990577,1890.8636363636363,4.396793424747715,0.9992712328972079,1100,1300,1400,1600,2200,2700,2800,2800,2800,2800,2800
GET,/competitors/?search=stripe,63,17,1000,1076.5380627632285,1.29104100051336,3435.0224590016296,1786.6984126984128,6.29540876725241,1.6987610959252535,1000,1600,1800,2000,2300,2900,3100,3400,3400,3400,3400
GET,/competitors/?skip=0&limit=50,500,111,1000,1074.4033941500238,0.6059590086806566,3541.26566699415,1903.766,49.9635616448604,11.091910685159007,1000,1500,1700,1900,2500,2700,2900,2900,3500,3500,3500
GET,/dashboard/stats,761,761,340,544.767400990801,0.872292002895847,2883.937499995227,17.345597897503286,76.04454082347752,76.04454082347752,340,520,680,750,1500,2100,2600,2800,2900,2900,2900
,Aggregated,1750,1194,510,792.1634803656901,0.6059590086806566,3541.26566699415,802.2588571428571,174.87246575701138,119.31298520792663,510,860,1300,1500,2100,2600,2800,2900,3400,3500,3500
