timestamp,cpu_percent,ram_mb,db_pool_size,db_checkedin,db_checkedout,worker_queue_depth
2026-07-24T09:53:50.537127,0.2,106.859375,10,1,0,0
2026-07-24T09:53:51.826708,0.1,128.203125,10,1,0,0
2026-07-24T09:53:52.957061,0.1,116.65625,10,1,0,0
2026-07-24T09:53:54.087494,0.1,74.71875,10,3,0,0
2026-07-24T09:53:55.371070,34.3,111.4375,10,0,3,0
2026-07-24T09:53:56.579764,92.3,62.78125,10,2,1,0
2026-07-24T09:53:57.707203,0.1,79.390625,10,3,0,0
2026-07-24T09:53:58.932394,0.0,130.84375,10,3,0,0
2026-07-24T09:54:00.062012,0.1,121.46875,10,2,1,0
2026-07-24T09:54:01.208448,0.1,124.90625,10,3,0,0
2026-07-24T09:54:02.338609,0.1,87.65625,10,3,0,0
2026-07-24T09:54:03.466085,0.1,78.859375,10,3,0,0
2026-07-24T09:54:04.957149,0.0,142.25,10,2,1,0
2026-07-24T09:54:06.175252,99.0,126.96875,10,2,6,0
2026-07-24T09:54:07.300258,0.1,77.515625,10,10,0,0
2026-07-24T09:54:08.436379,0.0,76.984375,10,9,1,0
2026-07-24T09:54:09.567438,0.1,116.71875,10,10,0,0
2026-07-24T09:54:10.785378,93.6,112.34375,10,7,3,0
2026-07-24T09:54:11.920020,0.1,120.078125,10,9,1,0
2026-07-24T09:54:13.050473,0.1,105.0,10,10,0,0
2026-07-24T09:54:14.183021,0.0,135.828125,10,4,6,0
2026-07-24T09:54:15.495347,0.1,127.21875,10,10,0,0
2026-07-24T09:54:16.653422,0.1,124.359375,10,10,0,0
2026-07-24T09:54:17.863772,0.0,126.734375,10,5,14,0
2026-07-24T09:54:19.462493,0.2,73.578125,10,0,28,0
2026-07-24T09:54:20.927426,0.1,76.546875,10,9,1,0
2026-07-24T09:54:22.063354,0.1,118.203125,10,10,0,0
2026-07-24T09:54:23.192080,0.1,65.09375,10,10,0,0
2026-07-24T09:54:24.354848,0.0,119.015625,10,9,1,0
2026-07-24T09:54:25.504139,0.1,115.4375,10,10,0,0
2026-07-24T09:54:26.675333,0.2,66.125,10,10,0,0
2026-07-24T09:54:27.823397,0.1,98.90625,10,10,0,0
2026-07-24T09:54:28.962869,0.1,104.921875,10,10,0,0
2026-07-24T09:54:30.099116,0.1,51.34375,10,10,0,0
2026-07-24T09:54:34.704846,0.1,74.65625,10,5,10,0
2026-07-24T09:54:36.668219,0.1,125.421875,10,0,30,0
2026-07-24T09:54:37.938098,0.1,127.4375,10,0,30,0
2026-07-24T09:54:39.450991,0.1,129.328125,10,0,30,0
2026-07-24T09:54:40.702169,0.1,125.84375,10,0,30,0
2026-07-24T09:54:41.838382,0.1,83.1875,10,10,0,0
2026-07-24T09:54:42.971584,0.0,51.90625,10,10,0,0
2026-07-24T09:54:44.193863,0.3,79.6875,10,0,14,0
2026-07-24T09:54:46.731568,0.1,82.09375,10,0,30,0
2026-07-24T09:54:53.761085,0.0,140.96875,10,7,23,0
2026-07-24T09:54:54.907934,0.1,81.765625,10,10,0,0
