Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784867082,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784867083,500,,Aggregated,0.000000,0.000000,210,220,380,550,810,870,920,930,940,940,940,451,397,210,319.74087045457657,65.77329100400675,938.7492500100052,302.56762749445676
1784867084,1000,,Aggregated,0.000000,0.000000,220,340,370,550,850,970,1000,1300,1400,1400,1400,966,845,220,353.8724191554594,0.8657080034026876,1420.1915839948924,316.28778467908904
1784867085,1000,,Aggregated,0.000000,0.000000,220,350,600,810,1000,1100,1200,1300,1400,1400,1400,1303,1084,220,398.5619274592802,0.6212500011315569,1420.1915839948924,425.18419033000765
1784867086,1000,,Aggregated,240.500000,206.500000,220,340,630,800,1000,1200,1400,1500,1700,1800,1800,1660,1386,220,393.0752845285727,0.6212500011315569,1819.4194579991745,418.24397590361446
1784867087,1000,,Aggregated,332.666667,287.666667,220,360,690,820,1000,1200,1600,1800,2600,2600,2600,1985,1626,220,410.93856353378413,0.6212500011315569,2591.3079159945482,457.08110831234256
1784867088,1000,,Aggregated,339.500000,283.000000,220,380,730,850,1100,1400,2100,2700,3200,3400,3400,2307,1888,220,447.2670904935408,0.6212500011315569,3423.24458299845,460.2644126571305
1784867089,1000,,Aggregated,342.800000,283.800000,260,480,810,910,1300,2200,3000,3300,4100,4500,4500,2663,2096,260,546.2717332165167,0.6212500011315569,4485.072790994309,538.3777694329704
1784867090,1000,,Aggregated,333.333333,273.500000,270,520,830,950,1500,2500,3200,3800,4700,5000,5000,2953,2292,270,589.1794936971434,0.6212500011315569,5030.983042001026,566.0474094141551
1784867091,1000,,Aggregated,335.000000,274.428571,290,560,860,1000,1800,2600,3300,3800,4700,6000,6000,3309,2528,290,632.557852024403,0.6212500011315569,6048.080833003041,597.6161982472046
1784867093,1000,,Aggregated,331.000000,257.000000,320,600,870,1000,1900,2600,3300,3800,5000,6000,6000,3522,2681,320,660.1686279388725,0.6212500011315569,6048.080833003041,605.0638841567292
