Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784867032,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784867033,5,,Aggregated,0.000000,0.000000,12,13,13,22,22,22,22,22,22,22,22,5,4,12,11.994741603848524,5.853082999237813,21.87733400205616,533.0
1784867034,10,,Aggregated,0.000000,0.000000,12,22,31,94,110,110,110,110,110,110,110,13,9,12,33.746522306151185,4.865207985858433,109.59937499137595,788.2307692307693
1784867035,10,,Aggregated,5.000000,4.000000,75,93,110,110,190,380,400,400,400,400,400,22,14,67,90.88477840983118,4.865207985858433,398.1108340085484,915.6818181818181
1784867036,10,,Aggregated,5.000000,3.000000,75,94,110,180,190,380,400,400,400,400,400,23,15,75,94.89680978320236,4.865207985858433,398.1108340085484,876.8260869565217
1784867037,10,,Aggregated,4.333333,3.000000,31,93,110,180,280,380,400,400,400,400,400,29,19,31,85.89138365491165,2.782041992759332,398.1108340085484,871.7241379310345
