Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/competitors/,497,497,450,638.2927722778378,0.7213749922811985,3397.03320901026,99.20321931589537,48.90213335963882,48.90213335963882,450,630,830,910,1300,2400,3000,3200,3400,3400,3400
GET,/competitors/?search=github,121,45,650,1004.54869074302,1.1620419973041862,4319.49383400206,1536.9586776859503,11.905750777698787,4.427758553689631,650,1100,1300,1600,2900,3200,3900,4000,4300,4300,4300
GET,/competitors/?search=google,108,43,600,952.8555675183102,1.269957996555604,5136.993457999779,1472.7314814814815,10.626620528855115,4.230969284636759,630,970,1300,1400,2200,3700,3900,4300,5100,5100,5100
GET,/competitors/?search=linear,114,45,590,854.2021813248682,0.9630830027163029,3996.5394159953576,1481.078947368421,11.216988336013731,4.427758553689631,600,1200,1300,1400,2000,2800,2900,3900,4000,4000,4000
GET,/competitors/?search=stripe,116,38,750,1027.1089048112806,1.090707999537699,4445.2752499928465,1645.396551724138,11.413777605066604,3.7389961120045774,760,1000,1300,1400,3200,3900,4100,4100,4400,4400,4400
GET,/competitors/?skip=0&limit=50,932,379,520,869.1909130508542,0.6676670018350706,6048.080833003041,1451.9216738197424,91.70379937863858,37.29156648551934,530,910,1200,1400,2300,3200,3900,4300,6000,6000,6000
GET,/dashboard/stats,1634,1634,220,463.16645918861775,0.6212500011315569,3057.249709003372,14.567931456548347,160.77683281619682,160.77683281619682,220,340,440,650,1200,2100,2600,2900,3000,3100,3100
,Aggregated,3522,2681,320,660.1686279388725,0.6212500011315569,6048.080833003041,605.0638841567292,346.54590280210846,263.7960151653756,320,600,870,1000,1900,2600,3300,3800,5000,6000,6000
