Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784867045,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784867046,25,,Aggregated,0.000000,0.000000,310,310,420,430,470,510,510,510,510,510,510,20,18,310,280.0388166026096,79.78916600404773,510.47529200150166,290.45
1784867047,50,,Aggregated,0.000000,0.000000,450,610,930,930,960,1900,1900,1900,1900,1900,1900,55,34,450,594.0914121289759,9.003125000162981,1946.6376250056783,969.1454545454545
1784867048,50,,Aggregated,20.000000,18.000000,310,470,610,810,940,1900,1900,1900,1900,1900,1900,74,42,310,443.5069099069822,1.6325830074492842,1946.6376250056783,1089.9054054054054
1784867049,50,,Aggregated,19.000000,17.000000,160,340,510,610,940,1900,1900,1900,1900,1900,1900,97,56,160,353.5836494753387,1.6185830027097836,1946.6376250056783,1063.041237113402
1784867050,50,,Aggregated,23.333333,13.000000,93,310,360,510,930,940,1900,1900,1900,1900,1900,124,74,87,280.4105924200661,1.6185830027097836,1946.6376250056783,1014.4354838709677
