Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784867057,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784867058,50,,Aggregated,0.000000,0.000000,140,140,350,360,900,900,900,900,900,900,900,50,26,130,238.9513640795485,15.373499991255812,904.2377500009025,1193.64
1784867059,100,,Aggregated,0.000000,0.000000,140,200,290,360,900,960,960,960,960,960,960,88,59,140,251.44791330620302,15.295958000933751,960.1309169956949,838.7159090909091
1784867060,100,,Aggregated,43.000000,26.000000,140,280,450,900,1200,1600,1600,1600,1600,1600,1600,158,80,140,381.4739074239904,1.7130000051110983,1589.4466250028927,1233.8164556962026
1784867061,100,,Aggregated,38.500000,26.500000,130,220,360,450,1100,1500,1600,1600,1600,1600,1600,201,107,130,322.0668362237256,1.7130000051110983,1589.4466250028927,1170.7860696517414
1784867062,100,,Aggregated,40.666667,24.000000,86,160,280,360,960,1500,1600,1600,1600,1600,1600,246,132,75,268.2703265483014,1.7130000051110983,1589.4466250028927,1159.9065040650407
