Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/competitors/,6,6,6,7.081228997170304,4.43112499488052,12.338750006165355,152.0,0.6715020703947006,0.6715020703947006,7,7,7,7,12,12,12,12,12,12,12
GET,/competitors/?search=google,1,0,64.7301669960143,64.7301669960143,64.7301669960143,64.7301669960143,2447.0,0.1119170117324501,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/competitors/?search=linear,3,0,110,108.84801400243305,30.663500001537614,187.4174170079641,2447.0,0.3357510351973503,0.0,110,110,190,190,190,190,190,190,190,190,190
GET,/competitors/?search=stripe,1,0,6.350167008349672,6.350167008349672,6.350167008349672,6.350167008349672,2447.0,0.1119170117324501,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/competitors/?skip=0&limit=50,12,0,13,120.03789600203163,6.659292004769668,398.1108340085484,2447.0,1.3430041407894011,0.0,22,110,280,280,380,400,400,400,400,400,400
GET,/dashboard/stats,24,24,12,39.81479337441366,1.9296670070616528,183.16149999736808,22.0,2.6860082815788022,2.6860082815788022,12,67,77,92,93,94,180,180,180,180,180
,Aggregated,47,30,12,60.343011553297714,1.9296670070616528,398.1108340085484,915.7234042553191,5.260099551425155,3.3575103519735032,12,67,92,93,190,280,400,400,400,400,400
