Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/competitors/,52,52,56,95.33393503779035,4.245957999955863,531.2196250015404,150.6153846153846,5.75724439284279,5.75724439284279,70,110,160,200,230,240,250,530,530,530,530
GET,/competitors/?search=github,16,0,20,202.60938550018182,7.386792000033893,1226.1332500056596,2447.0,1.771459813182397,0.0,24,110,270,270,960,1200,1200,1200,1200,1200,1200
GET,/competitors/?search=google,14,0,57,245.21031242745397,9.710874990560114,1563.618874992244,2447.0,1.5500273365345973,0.0,61,120,200,260,900,1600,1600,1600,1600,1600,1600
GET,/competitors/?search=linear,14,0,65,373.0378004308607,8.083291002549231,1589.4466250028927,2447.0,1.5500273365345973,0.0,86,140,540,1100,1500,1600,1600,1600,1600,1600,1600
GET,/competitors/?search=stripe,21,0,120,416.1037818086611,6.375041004503146,1576.1539999948582,2447.0,2.3250410048018963,0.0,120,300,900,960,960,1600,1600,1600,1600,1600,1600
GET,/competitors/?skip=0&limit=50,126,0,74,307.2393776822118,5.700124995200895,1580.7902500091586,2447.0,13.950246028811376,0.0,78,170,350,430,1100,1500,1600,1600,1600,1600,1600
GET,/dashboard/stats,199,199,14,52.053696823487144,1.4852090098429471,453.74399999855086,22.0,22.032531426456064,22.032531426456064,14,36,67,98,150,210,390,430,450,450,450
,Aggregated,442,251,35,168.92220598144553,1.4852090098429471,1589.4466250028927,1085.0384615384614,48.93657733916372,27.789775819298853,36,98,140,190,390,960,1600,1600,1600,1600,1600
