Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/competitors/,31,31,10,191.65328903369712,3.4012920077657327,613.8526659924537,151.06451612903226,3.4772492211696377,3.4772492211696377,10,270,420,430,610,610,610,610,610,610,610
GET,/competitors/?search=github,5,0,170,312.2429420007393,20.219583995640278,934.3392919981852,2447.0,0.560846648575748,0.0,170,340,340,930,930,930,930,930,930,930,930
GET,/competitors/?search=google,10,0,8,365.72793330124114,6.7449170019244775,1946.6376250056783,2447.0,1.121693297151496,0.0,9,200,530,940,1900,1900,1900,1900,1900,1900,1900
GET,/competitors/?search=linear,11,0,140,392.15694700066126,6.368666989146732,1915.0153750088066,2447.0,1.2338626268666455,0.0,140,160,940,940,940,1900,1900,1900,1900,1900,1900
GET,/competitors/?search=stripe,5,0,470,778.4725415986031,239.97741600032896,1942.8955000039423,2447.0,0.560846648575748,0.0,470,930,930,1900,1900,1900,1900,1900,1900,1900,1900
GET,/competitors/?skip=0&limit=50,53,0,11,234.66429796359802,5.336041998816654,1944.6195410127984,2447.0,5.944974474902929,0.0,11,86,120,410,930,960,1900,1900,1900,1900,1900
GET,/dashboard/stats,98,98,61,94.32483463306384,1.4143750013317913,527.7377920137951,22.0,10.99259431208466,10.99259431208466,62,110,130,150,310,340,450,530,530,530,530
,Aggregated,213,129,33,192.708341381089,1.4143750013317913,1946.6376250056783,997.1220657276996,23.892067229326866,14.469843533254299,33,120,230,310,590,930,1900,1900,1900,1900,1900
